******************* Приложение запущено 2024.07.18 20:22:00,380 [v1.47.0.1064] **************************
2024.07.18 20:24:05,038 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsService.OnItemBarcodeEnter...
2024.07.18 20:24:05,039 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:24:05,039 [196280786][1.47.0.1064] DEBUG - 	employeeId: 0000072400
2024.07.18 20:24:05,039 [196280786][1.47.0.1064] DEBUG - 	taskId: MK71671532
2024.07.18 20:24:05,039 [196280786][1.47.0.1064] DEBUG - 	taskType: 48
2024.07.18 20:24:05,039 [196280786][1.47.0.1064] DEBUG - 	itemBarcode: 4607012144119
2024.07.18 20:24:05,040 [196280786][1.47.0.1064] DEBUG - 	itemQty: 0
2024.07.18 20:24:05,040 [196280786][1.47.0.1064] DEBUG - 	givenQty: 0
2024.07.18 20:24:05,040 [196280786][1.47.0.1064] DEBUG - 	itemName: не задано
2024.07.18 20:24:05,040 [196280786][1.47.0.1064] DEBUG - 	itemId: не задано
2024.07.18 20:24:05,040 [196280786][1.47.0.1064] DEBUG - 	expiryDate: не задано
2024.07.18 20:24:05,041 [196280786][1.47.0.1064] DEBUG - 	wmsLocationId: не задано
2024.07.18 20:24:05,041 [196280786][1.47.0.1064] DEBUG - 	orderId: не задано
2024.07.18 20:24:05,041 [196280786][1.47.0.1064] DEBUG - 	subOrderId: не задано
2024.07.18 20:24:05,041 [196280786][1.47.0.1064] DEBUG - 	eShopAssemblyPriority: False
2024.07.18 20:24:05,042 [196280786][1.47.0.1064] DEBUG - 	boxNumber: не задано
2024.07.18 20:24:05,042 [196280786][1.47.0.1064] DEBUG - 	hostOrderId: не задано
2024.07.18 20:24:05,042 [196280786][1.47.0.1064] DEBUG - 	sortingStation: не задано
